date,state,crop,market,variety,min_price,max_price,modal_price,arrivals,avg_price
2024-01-05,Andhra Pradesh,Rice,Andhra Pradesh Main Market,Common,1119,3119,1369,219,2119.0
2024-02-04,Andhra Pradesh,Rice,Andhra Pradesh Main Market,Common,1828,2328,2078,428,2078.0
2024-03-05,Andhra Pradesh,Rice,Andhra Pradesh Main Market,Common,1716,1716,1966,316,1716.0
2024-04-04,Andhra Pradesh,Rice,Andhra Pradesh Main Market,Common,2692,3692,2942,292,3192.0
2024-05-04,Andhra Pradesh,Rice,Andhra Pradesh Main Market,Common,2508,2008,2758,108,2258.0
2024-06-03,Andhra Pradesh,Rice,Andhra Pradesh Main Market,Common,2921,1921,3171,521,2421.0
2024-07-03,Andhra Pradesh,Rice,Andhra Pradesh Main Market,Common,2655,2655,2905,255,2655.0
2024-08-02,Andhra Pradesh,Rice,Andhra Pradesh Main Market,Common,1136,3636,1386,236,2386.0
2024-09-01,Andhra Pradesh,Rice,Andhra Pradesh Main Market,Common,1189,3189,1439,289,2189.0
2024-10-01,Andhra Pradesh,Rice,Andhra Pradesh Main Market,Common,1912,1912,2162,512,1912.0
2019-01-01,Andhra Pradesh,Wheat,Andhra Pradesh Main Market,Common,1364,3864,1614,464,2614.0
2019-01-31,Andhra Pradesh,Wheat,Andhra Pradesh Main Market,Common,2343,2343,2593,443,2343.0
2019-03-02,Andhra Pradesh,Wheat,Andhra Pradesh Main Market,Common,1168,3668,1418,268,2418.0
2019-04-01,Andhra Pradesh,Wheat,Andhra Pradesh Main Market,Common,2439,1939,2689,539,2189.0
2019-05-01,Andhra Pradesh,Wheat,Andhra Pradesh Main Market,Common,2680,2680,2930,280,2680.0
2019-05-31,Andhra Pradesh,Wheat,Andhra Pradesh Main Market,Common,2048,3048,2298,148,2548.0
2019-06-30,Andhra Pradesh,Wheat,Andhra Pradesh Main Market,Common,1411,2911,1661,511,2161.0
2019-07-30,Andhra Pradesh,Wheat,Andhra Pradesh Main Market,Common,1242,2242,1492,342,1742.0
2019-08-29,Andhra Pradesh,Wheat,Andhra Pradesh Main Market,Common,2406,3906,2656,506,3156.0
2019-09-28,Andhra Pradesh,Wheat,Andhra Pradesh Main Market,Common,2770,1770,3020,370,2270.0
2019-10-28,Andhra Pradesh,Wheat,Andhra Pradesh Main Market,Common,2940,2940,3190,540,2940.0
2019-11-27,Andhra Pradesh,Wheat,Andhra Pradesh Main Market,Common,2727,2227,2977,327,2477.0
2019-12-27,Andhra Pradesh,Wheat,Andhra Pradesh Main Market,Common,1588,2588,1838,188,2088.0
2020-01-26,Andhra Pradesh,Wheat,Andhra Pradesh Main Market,Common,1837,3337,2087,437,2587.0
2020-02-25,Andhra Pradesh,Wheat,Andhra Pradesh Main Market,Common,2432,2432,2682,532,2432.0
2020-03-26,Andhra Pradesh,Wheat,Andhra Pradesh Main Market,Common,1782,3782,2032,382,2782.0
2020-04-25,Andhra Pradesh,Wheat,Andhra Pradesh Main Market,Common,2909,2909,3159,509,2909.0
2020-05-25,Andhra Pradesh,Wheat,Andhra Pradesh Main Market,Common,1396,3396,1646,496,2396.0
2020-06-24,Andhra Pradesh,Wheat,Andhra Pradesh Main Market,Common,2286,2286,2536,386,2286.0
2020-07-24,Andhra Pradesh,Wheat,Andhra Pradesh Main Market,Common,2545,3545,2795,145,3045.0
2020-08-23,Andhra Pradesh,Wheat,Andhra Pradesh Main Market,Common,1031,1531,1281,131,1281.0
2020-09-22,Andhra Pradesh,Wheat,Andhra Pradesh Main Market,Common,2715,3215,2965,315,2965.0
2020-10-22,Andhra Pradesh,Wheat,Andhra Pradesh Main Market,Common,2226,2226,2476,326,2226.0
2020-11-21,Andhra Pradesh,Wheat,Andhra Pradesh Main Market,Common,2620,3120,2870,220,2870.0
2020-12-21,Andhra Pradesh,Wheat,Andhra Pradesh Main Market,Common,2285,3785,2535,385,3035.0
2021-01-20,Andhra Pradesh,Wheat,Andhra Pradesh Main Market,Common,1803,2303,2053,403,2053.0
2021-02-19,Andhra Pradesh,Wheat,Andhra Pradesh Main Market,Common,1496,3496,1746,596,2496.0
2021-03-21,Andhra Pradesh,Wheat,Andhra Pradesh Main Market,Common,2690,2690,2940,290,2690.0
2021-04-20,Andhra Pradesh,Wheat,Andhra Pradesh Main Market,Common,1483,3983,1733,583,2733.0
2021-05-20,Andhra Pradesh,Wheat,Andhra Pradesh Main Market,Common,1159,1659,1409,259,1409.0
2021-06-19,Andhra Pradesh,Wheat,Andhra Pradesh Main Market,Common,2992,3992,3242,592,3492.0
2021-07-19,Andhra Pradesh,Wheat,Andhra Pradesh Main Market,Common,2298,3798,2548,398,3048.0
2021-08-18,Andhra Pradesh,Wheat,Andhra Pradesh Main Market,Common,1447,2947,1697,547,2197.0
2021-09-17,Andhra Pradesh,Wheat,Andhra Pradesh Main Market,Common,1021,1521,1271,121,1271.0
2021-10-17,Andhra Pradesh,Wheat,Andhra Pradesh Main Market,Common,1454,2454,1704,554,1954.0
2021-11-16,Andhra Pradesh,Wheat,Andhra Pradesh Main Market,Common,1659,3659,1909,259,2659.0
2021-12-16,Andhra Pradesh,Wheat,Andhra Pradesh Main Market,Common,2414,2914,2664,514,2664.0
2022-01-15,Andhra Pradesh,Wheat,Andhra Pradesh Main Market,Common,1655,2655,1905,255,2155.0
2022-02-14,Andhra Pradesh,Wheat,Andhra Pradesh Main Market,Common,1160,3660,1410,260,2410.0
2022-03-16,Andhra Pradesh,Wheat,Andhra Pradesh Main Market,Common,1345,2845,1595,445,2095.0
2022-04-15,Andhra Pradesh,Wheat,Andhra Pradesh Main Market,Common,2075,2575,2325,175,2325.0
2022-05-15,Andhra Pradesh,Wheat,Andhra Pradesh Main Market,Common,2861,3861,3111,461,3361.0
2022-06-14,Andhra Pradesh,Wheat,Andhra Pradesh Main Market,Common,1560,3560,1810,160,2560.0
2022-07-14,Andhra Pradesh,Wheat,Andhra Pradesh Main Market,Common,2824,3324,3074,424,3074.0
2022-08-13,Andhra Pradesh,Wheat,Andhra Pradesh Main Market,Common,2512,1512,2762,112,2012.0
2022-09-12,Andhra Pradesh,Wheat,Andhra Pradesh Main Market,Common,2285,3785,2535,385,3035.0
2022-10-12,Andhra Pradesh,Wheat,Andhra Pradesh Main Market,Common,1210,3710,1460,310,2460.0
2022-11-11,Andhra Pradesh,Wheat,Andhra Pradesh Main Market,Common,2136,2136,2386,236,2136.0
2022-12-11,Andhra Pradesh,Wheat,Andhra Pradesh Main Market,Common,2211,3711,2461,311,2961.0
2023-01-10,Andhra Pradesh,Wheat,Andhra Pradesh Main Market,Common,1289,3289,1539,389,2289.0
2023-02-09,Andhra Pradesh,Wheat,Andhra Pradesh Main Market,Common,2941,2441,3191,541,2691.0
2023-03-11,Andhra Pradesh,Wheat,Andhra Pradesh Main Market,Common,2714,2214,2964,314,2464.0
2023-04-10,Andhra Pradesh,Wheat,Andhra Pradesh Main Market,Common,2141,3641,2391,241,2891.0
2023-05-10,Andhra Pradesh,Wheat,Andhra Pradesh Main Market,Common,1042,2042,1292,142,1542.0
2023-06-09,Andhra Pradesh,Wheat,Andhra Pradesh Main Market,Common,2867,2367,3117,467,2617.0
2023-07-09,Andhra Pradesh,Wheat,Andhra Pradesh Main Market,Common,1478,1978,1728,578,1728.0
2023-08-08,Andhra Pradesh,Wheat,Andhra Pradesh Main Market,Common,1983,1983,2233,583,1983.0
2023-09-07,Andhra Pradesh,Wheat,Andhra Pradesh Main Market,Common,1806,1806,2056,406,1806.0
2023-10-07,Andhra Pradesh,Wheat,Andhra Pradesh Main Market,Common,1654,3654,1904,254,2654.0
2023-11-06,Andhra Pradesh,Wheat,Andhra Pradesh Main Market,Common,2502,3002,2752,102,2752.0
2023-12-06,Andhra Pradesh,Wheat,Andhra Pradesh Main Market,Common,1076,2576,1326,176,1826.0
2024-01-05,Andhra Pradesh,Wheat,Andhra Pradesh Main Market,Common,1832,3332,2082,432,2582.0
2024-02-04,Andhra Pradesh,Wheat,Andhra Pradesh Main Market,Common,1036,3036,1286,136,2036.0
2024-03-05,Andhra Pradesh,Wheat,Andhra Pradesh Main Market,Common,2752,3252,3002,352,3002.0
2024-04-04,Andhra Pradesh,Wheat,Andhra Pradesh Main Market,Common,2917,2917,3167,517,2917.0
2024-05-04,Andhra Pradesh,Wheat,Andhra Pradesh Main Market,Common,1456,2456,1706,556,1956.0
2024-06-03,Andhra Pradesh,Wheat,Andhra Pradesh Main Market,Common,2140,2640,2390,240,2390.0
2024-07-03,Andhra Pradesh,Wheat,Andhra Pradesh Main Market,Common,1165,2665,1415,265,1915.0
2024-08-02,Andhra Pradesh,Wheat,Andhra Pradesh Main Market,Common,2910,1910,3160,510,2410.0
2024-09-01,Andhra Pradesh,Wheat,Andhra Pradesh Main Market,Common,2607,3607,2857,207,3107.0
2024-10-01,Andhra Pradesh,Wheat,Andhra Pradesh Main Market,Common,2361,2361,2611,461,2361.0
2019-01-01,Andhra Pradesh,Maize,Andhra Pradesh Main Market,Common,1476,1976,1726,576,1726.0
2019-01-31,Andhra Pradesh,Maize,Andhra Pradesh Main Market,Common,2402,3402,2652,502,2902.0
2019-03-02,Andhra Pradesh,Maize,Andhra Pradesh Main Market,Common,1387,3887,1637,487,2637.0
2019-04-01,Andhra Pradesh,Maize,Andhra Pradesh Main Market,Common,1748,2748,1998,348,2248.0
2019-05-01,Andhra Pradesh,Maize,Andhra Pradesh Main Market,Common,1976,2976,2226,576,2476.0
2019-05-31,Andhra Pradesh,Maize,Andhra Pradesh Main Market,Common,1566,1566,1816,166,1566.0
2019-06-30,Andhra Pradesh,Maize,Andhra Pradesh Main Market,Common,1651,2651,1901,251,2151.0
2019-07-30,Andhra Pradesh,Maize,Andhra Pradesh Main Market,Common,2097,2097,2347,197,2097.0
2019-08-29,Andhra Pradesh,Maize,Andhra Pradesh Main Market,Common,2456,2456,2706,556,2456.0
2019-09-28,Andhra Pradesh,Maize,Andhra Pradesh Main Market,Common,2100,1600,2350,200,1850.0
2019-10-28,Andhra Pradesh,Maize,Andhra Pradesh Main Market,Common,1738,1738,1988,338,1738.0
2019-11-27,Andhra Pradesh,Maize,Andhra Pradesh Main Market,Common,2392,3392,2642,492,2892.0
2019-12-27,Andhra Pradesh,Maize,Andhra Pradesh Main Market,Common,1471,3471,1721,571,2471.0
2020-01-26,Andhra Pradesh,Maize,Andhra Pradesh Main Market,Common,2419,2919,2669,519,2669.0
2020-02-25,Andhra Pradesh,Maize,Andhra Pradesh Main Market,Common,1358,3858,1608,458,2608.0
2020-03-26,Andhra Pradesh,Maize,Andhra Pradesh Main Market,Common,2647,3647,2897,247,3147.0
2020-04-25,Andhra Pradesh,Maize,Andhra Pradesh Main Market,Common,2659,2159,2909,259,2409.0
2020-05-25,Andhra Pradesh,Maize,Andhra Pradesh Main Market,Common,2657,1657,2907,257,2157.0
2020-06-24,Andhra Pradesh,Maize,Andhra Pradesh Main Market,Common,1343,1843,1593,443,1593.0
2020-07-24,Andhra Pradesh,Maize,Andhra Pradesh Main Market,Common,2455,2455,2705,555,2455.0
2020-08-23,Andhra Pradesh,Maize,Andhra Pradesh Main Market,Common,2658,3158,2908,258,2908.0
2020-09-22,Andhra Pradesh,Maize,Andhra Pradesh Main Market,Common,1527,3527,1777,127,2527.0
2020-10-22,Andhra Pradesh,Maize,Andhra Pradesh Main Market,Common,1000,2500,1250,100,1750.0
2020-11-21,Andhra Pradesh,Maize,Andhra Pradesh Main Market,Common,2777,2777,3027,377,2777.0
2020-12-21,Andhra Pradesh,Maize,Andhra Pradesh Main Market,Common,2088,1588,2338,188,1838.0
2021-01-20,Andhra Pradesh,Maize,Andhra Pradesh Main Market,Common,1107,2607,1357,207,1857.0
2021-02-19,Andhra Pradesh,Maize,Andhra Pradesh Main Market,Common,1501,2001,1751,101,1751.0
2021-03-21,Andhra Pradesh,Maize,Andhra Pradesh Main Market,Common,2117,2617,2367,217,2367.0
2021-04-20,Andhra Pradesh,Maize,Andhra Pradesh Main Market,Common,1652,2652,1902,252,2152.0
2021-05-20,Andhra Pradesh,Maize,Andhra Pradesh Main Market,Common,2934,1934,3184,534,2434.0
2021-06-19,Andhra Pradesh,Maize,Andhra Pradesh Main Market,Common,2747,2747,2997,347,2747.0
2021-07-19,Andhra Pradesh,Maize,Andhra Pradesh Main Market,Common,2635,3635,2885,235,3135.0
2021-08-18,Andhra Pradesh,Maize,Andhra Pradesh Main Market,Common,2171,3171,2421,271,2671.0
2021-09-17,Andhra Pradesh,Maize,Andhra Pradesh Main Market,Common,2993,3993,3243,593,3493.0
2021-10-17,Andhra Pradesh,Maize,Andhra Pradesh Main Market,Common,2027,3527,2277,127,2777.0
2021-11-16,Andhra Pradesh,Maize,Andhra Pradesh Main Market,Common,1686,2686,1936,286,2186.0
2021-12-16,Andhra Pradesh,Maize,Andhra Pradesh Main Market,Common,2465,3465,2715,565,2965.0
2022-01-15,Andhra Pradesh,Maize,Andhra Pradesh Main Market,Common,2841,3341,3091,441,3091.0
2022-02-14,Andhra Pradesh,Maize,Andhra Pradesh Main Market,Common,2500,3000,2750,100,2750.0
2022-03-16,Andhra Pradesh,Maize,Andhra Pradesh Main Market,Common,1764,3264,2014,364,2514.0
2022-04-15,Andhra Pradesh,Maize,Andhra Pradesh Main Market,Common,1443,2443,1693,543,1943.0
2022-05-15,Andhra Pradesh,Maize,Andhra Pradesh Main Market,Common,1141,2141,1391,241,1641.0
2022-06-14,Andhra Pradesh,Maize,Andhra Pradesh Main Market,Common,1420,2920,1670,520,2170.0
2022-07-14,Andhra Pradesh,Maize,Andhra Pradesh Main Market,Common,2861,1861,3111,461,2361.0
2022-08-13,Andhra Pradesh,Maize,Andhra Pradesh Main Market,Common,1789,3789,2039,389,2789.0
2022-09-12,Andhra Pradesh,Maize,Andhra Pradesh Main Market,Common,1442,3942,1692,542,2692.0
2022-10-12,Andhra Pradesh,Maize,Andhra Pradesh Main Market,Common,1044,3044,1294,144,2044.0
2022-11-11,Andhra Pradesh,Maize,Andhra Pradesh Main Market,Common,2465,1965,2715,565,2215.0
2022-12-11,Andhra Pradesh,Maize,Andhra Pradesh Main Market,Common,2897,2897,3147,497,2897.0
2023-01-10,Andhra Pradesh,Maize,Andhra Pradesh Main Market,Common,2498,1998,2748,598,2248.0
2023-02-09,Andhra Pradesh,Maize,Andhra Pradesh Main Market,Common,2695,1695,2945,295,2195.0
2023-03-11,Andhra Pradesh,Maize,Andhra Pradesh Main Market,Common,2854,3854,3104,454,3354.0
2023-04-10,Andhra Pradesh,Maize,Andhra Pradesh Main Market,Common,1479,2479,1729,579,1979.0
2023-05-10,Andhra Pradesh,Maize,Andhra Pradesh Main Market,Common,1977,2977,2227,577,2477.0
2023-06-09,Andhra Pradesh,Maize,Andhra Pradesh Main Market,Common,2310,3810,2560,410,3060.0
2023-07-09,Andhra Pradesh,Maize,Andhra Pradesh Main Market,Common,1132,2132,1382,232,1632.0
2023-08-08,Andhra Pradesh,Maize,Andhra Pradesh Main Market,Common,1613,3613,1863,213,2613.0
2023-09-07,Andhra Pradesh,Maize,Andhra Pradesh Main Market,Common,1034,3034,1284,134,2034.0
2023-10-07,Andhra Pradesh,Maize,Andhra Pradesh Main Market,Common,1503,3003,1753,103,2253.0
2023-11-06,Andhra Pradesh,Maize,Andhra Pradesh Main Market,Common,1778,2278,2028,378,2028.0
2023-12-06,Andhra Pradesh,Maize,Andhra Pradesh Main Market,Common,2370,2370,2620,470,2370.0
2024-01-05,Andhra Pradesh,Maize,Andhra Pradesh Main Market,Common,2427,2427,2677,527,2427.0
2024-02-04,Andhra Pradesh,Maize,Andhra Pradesh Main Market,Common,2654,3154,2904,254,2904.0
2024-03-05,Andhra Pradesh,Maize,Andhra Pradesh Main Market,Common,2225,3725,2475,325,2975.0
2024-04-04,Andhra Pradesh,Maize,Andhra Pradesh Main Market,Common,1614,3614,1864,214,2614.0
2024-05-04,Andhra Pradesh,Maize,Andhra Pradesh Main Market,Common,2620,2620,2870,220,2620.0
2024-06-03,Andhra Pradesh,Maize,Andhra Pradesh Main Market,Common,2145,1645,2395,245,1895.0
2024-07-03,Andhra Pradesh,Maize,Andhra Pradesh Main Market,Common,1403,2403,1653,503,1903.0
2024-08-02,Andhra Pradesh,Maize,Andhra Pradesh Main Market,Common,2195,3195,2445,295,2695.0
2024-09-01,Andhra Pradesh,Maize,Andhra Pradesh Main Market,Common,1792,3292,2042,392,2542.0
2024-10-01,Andhra Pradesh,Maize,Andhra Pradesh Main Market,Common,2440,2440,2690,540,2440.0
2019-01-01,Andhra Pradesh,Bajra,Andhra Pradesh Main Market,Common,2226,2726,2476,326,2476.0
2019-01-31,Andhra Pradesh,Bajra,Andhra Pradesh Main Market,Common,1154,1654,1404,254,1404.0
2019-03-02,Andhra Pradesh,Bajra,Andhra Pradesh Main Market,Common,2246,1746,2496,346,1996.0
2019-04-01,Andhra Pradesh,Bajra,Andhra Pradesh Main Market,Common,1217,3717,1467,317,2467.0
2019-05-01,Andhra Pradesh,Bajra,Andhra Pradesh Main Market,Common,2059,2059,2309,159,2059.0
2019-05-31,Andhra Pradesh,Bajra,Andhra Pradesh Main Market,Common,2236,3236,2486,336,2736.0
2019-06-30,Andhra Pradesh,Bajra,Andhra Pradesh Main Market,Common,2205,1705,2455,305,1955.0
2019-07-30,Andhra Pradesh,Bajra,Andhra Pradesh Main Market,Common,1886,1886,2136,486,1886.0
2019-08-29,Andhra Pradesh,Bajra,Andhra Pradesh Main Market,Common,2649,3149,2899,249,2899.0
2019-09-28,Andhra Pradesh,Bajra,Andhra Pradesh Main Market,Common,2913,1913,3163,513,2413.0
2019-10-28,Andhra Pradesh,Bajra,Andhra Pradesh Main Market,Common,1642,2642,1892,242,2142.0
2019-11-27,Andhra Pradesh,Bajra,Andhra Pradesh Main Market,Common,1369,2369,1619,469,1869.0
2019-12-27,Andhra Pradesh,Bajra,Andhra Pradesh Main Market,Common,2319,2819,2569,419,2569.0
2020-01-26,Andhra Pradesh,Bajra,Andhra Pradesh Main Market,Common,2945,2945,3195,545,2945.0
2020-02-25,Andhra Pradesh,Bajra,Andhra Pradesh Main Market,Common,1795,1795,2045,395,1795.0
2020-03-26,Andhra Pradesh,Bajra,Andhra Pradesh Main Market,Common,2437,3937,2687,537,3187.0
2020-04-25,Andhra Pradesh,Bajra,Andhra Pradesh Main Market,Common,2538,2538,2788,138,2538.0
2020-05-25,Andhra Pradesh,Bajra,Andhra Pradesh Main Market,Common,2000,2000,2250,100,2000.0
2020-06-24,Andhra Pradesh,Bajra,Andhra Pradesh Main Market,Common,2481,2481,2731,581,2481.0
2020-07-24,Andhra Pradesh,Bajra,Andhra Pradesh Main Market,Common,1673,2173,1923,273,1923.0
2020-08-23,Andhra Pradesh,Bajra,Andhra Pradesh Main Market,Common,2399,2399,2649,499,2399.0
2020-09-22,Andhra Pradesh,Bajra,Andhra Pradesh Main Market,Common,2500,2500,2750,100,2500.0
2020-10-22,Andhra Pradesh,Bajra,Andhra Pradesh Main Market,Common,1402,1902,1652,502,1652.0
2020-11-21,Andhra Pradesh,Bajra,Andhra Pradesh Main Market,Common,1326,1826,1576,426,1576.0
2020-12-21,Andhra Pradesh,Bajra,Andhra Pradesh Main Market,Common,1093,2593,1343,193,1843.0
2021-01-20,Andhra Pradesh,Bajra,Andhra Pradesh Main Market,Common,1881,2881,2131,481,2381.0
2021-02-19,Andhra Pradesh,Bajra,Andhra Pradesh Main Market,Common,2131,3131,2381,231,2631.0
2021-03-21,Andhra Pradesh,Bajra,Andhra Pradesh Main Market,Common,2286,3786,2536,386,3036.0
2021-04-20,Andhra Pradesh,Bajra,Andhra Pradesh Main Market,Common,1474,2474,1724,574,1974.0
2021-05-20,Andhra Pradesh,Bajra,Andhra Pradesh Main Market,Common,2385,2885,2635,485,2635.0
2021-06-19,Andhra Pradesh,Bajra,Andhra Pradesh Main Market,Common,1680,3180,1930,280,2430.0
2021-07-19,Andhra Pradesh,Bajra,Andhra Pradesh Main Market,Common,2817,2817,3067,417,2817.0
2021-08-18,Andhra Pradesh,Bajra,Andhra Pradesh Main Market,Common,2401,2901,2651,501,2651.0
2021-09-17,Andhra Pradesh,Bajra,Andhra Pradesh Main Market,Common,1784,1784,2034,384,1784.0
2021-10-17,Andhra Pradesh,Bajra,Andhra Pradesh Main Market,Common,1823,2323,2073,423,2073.0
2021-11-16,Andhra Pradesh,Bajra,Andhra Pradesh Main Market,Common,2919,3419,3169,519,3169.0
2021-12-16,Andhra Pradesh,Bajra,Andhra Pradesh Main Market,Common,2382,3882,2632,482,3132.0
2022-01-15,Andhra Pradesh,Bajra,Andhra Pradesh Main Market,Common,1679,3679,1929,279,2679.0
2022-02-14,Andhra Pradesh,Bajra,Andhra Pradesh Main Market,Common,2543,3043,2793,143,2793.0
2022-03-16,Andhra Pradesh,Bajra,Andhra Pradesh Main Market,Common,2281,3281,2531,381,2781.0
2022-04-15,Andhra Pradesh,Bajra,Andhra Pradesh Main Market,Common,2663,2663,2913,263,2663.0
2022-05-15,Andhra Pradesh,Bajra,Andhra Pradesh Main Market,Common,1425,3425,1675,525,2425.0
