date,state,market_name,commodity,variety,arrivals_tonnes,traded_tonnes,min_price,max_price,modal_price
2023-04-15,Maharashtra,Pune,Rice,FAQ,61,101,1511,2811,1611
2023-04-22,Maharashtra,Pune,Rice,FAQ,165,105,1515,2315,2515
2023-04-29,Maharashtra,Pune,Rice,FAQ,132,172,1882,3682,2282
2023-05-06,Maharashtra,Pune,Rice,FAQ,161,51,1911,2711,1711
2023-05-13,Maharashtra,Pune,Rice,FAQ,168,58,1018,2318,2318
2023-05-20,Maharashtra,Pune,Rice,FAQ,243,133,1693,2993,1793
2023-05-27,Maharashtra,Pune,Rice,FAQ,185,125,2435,2735,2535
2023-06-03,Maharashtra,Pune,Rice,FAQ,167,107,1517,3317,1917
2023-06-10,Maharashtra,Pune,Rice,FAQ,161,101,1811,2111,2511
2023-06-17,Maharashtra,Pune,Rice,FAQ,216,56,1766,3566,1566
2023-06-24,Maharashtra,Pune,Rice,FAQ,118,158,1268,3068,2268
2023-07-01,Maharashtra,Pune,Rice,FAQ,92,82,1642,3442,2642
2023-07-08,Maharashtra,Pune,Rice,FAQ,123,63,1773,3073,2473
2023-07-15,Maharashtra,Pune,Rice,FAQ,230,70,2080,3380,2180
2023-07-22,Maharashtra,Pune,Rice,FAQ,109,99,1059,1859,2059
2023-07-29,Maharashtra,Pune,Rice,FAQ,69,59,2219,2019,1419
2023-08-05,Maharashtra,Pune,Rice,FAQ,103,93,1653,2453,2653
2023-08-12,Maharashtra,Pune,Rice,FAQ,84,74,1034,2834,1434
2023-08-19,Maharashtra,Pune,Rice,FAQ,79,169,1729,2029,1829
2023-08-26,Maharashtra,Pune,Rice,FAQ,192,132,2142,2942,2542
2023-09-02,Maharashtra,Pune,Rice,FAQ,185,175,2335,3135,2135
2023-09-09,Maharashtra,Pune,Rice,FAQ,189,129,1539,2339,3139
2023-09-16,Maharashtra,Pune,Rice,FAQ,210,50,1760,3560,2160
2023-09-23,Maharashtra,Pune,Rice,FAQ,237,77,1487,2787,2787
2023-09-30,Maharashtra,Pune,Rice,FAQ,105,95,1055,2855,1455
2023-10-07,Maharashtra,Pune,Rice,FAQ,226,116,2276,3576,1776
2023-10-14,Maharashtra,Pune,Rice,FAQ,188,178,2338,2138,1538
2023-10-21,Maharashtra,Pune,Rice,FAQ,206,96,1956,3756,2356
2023-10-28,Maharashtra,Pune,Rice,FAQ,109,99,1959,2259,1459
2023-11-04,Maharashtra,Pune,Rice,FAQ,68,58,1018,1818,2618
2023-11-11,Maharashtra,Pune,Rice,FAQ,193,83,1343,2143,2943
2023-11-18,Maharashtra,Pune,Rice,FAQ,153,43,1303,2103,2903
2023-11-25,Maharashtra,Pune,Rice,FAQ,99,139,1249,2049,2849
2023-12-02,Maharashtra,Pune,Rice,FAQ,73,163,1423,3223,2423
2023-12-09,Maharashtra,Pune,Rice,FAQ,171,61,2221,2521,2921
2023-12-16,Maharashtra,Pune,Rice,FAQ,102,42,1752,2052,1852
2023-12-23,Maharashtra,Pune,Rice,FAQ,142,82,2092,1892,3092
2023-12-30,Maharashtra,Pune,Rice,FAQ,135,175,2485,3285,1685
2024-01-06,Maharashtra,Pune,Rice,FAQ,226,116,1076,2376,1776
2024-01-13,Maharashtra,Pune,Rice,FAQ,154,94,2104,1904,3104
2024-01-20,Maharashtra,Pune,Rice,FAQ,96,186,1146,2446,1846
2024-01-27,Maharashtra,Pune,Rice,FAQ,249,89,1199,2999,2199
2024-02-03,Maharashtra,Pune,Rice,FAQ,214,104,1664,2964,2364
2024-02-10,Maharashtra,Pune,Rice,FAQ,222,112,1372,3172,2372
2024-02-17,Maharashtra,Pune,Rice,FAQ,204,94,1354,3154,1754
2024-02-24,Maharashtra,Pune,Rice,FAQ,227,167,2477,3777,1977
2024-03-02,Maharashtra,Pune,Rice,FAQ,245,135,2295,2595,2995
2024-03-09,Maharashtra,Pune,Rice,FAQ,150,90,1800,2100,2500
2024-03-16,Maharashtra,Pune,Rice,FAQ,84,74,1634,2434,2034
2024-03-23,Maharashtra,Pune,Rice,FAQ,132,122,1382,3682,2682
2024-03-30,Maharashtra,Pune,Rice,FAQ,155,45,1605,2905,2905
2024-04-06,Maharashtra,Pune,Rice,FAQ,186,126,1836,2136,2536
2024-04-13,Maharashtra,Pune,Rice,FAQ,161,151,1711,3511,2111
2024-04-20,Maharashtra,Pune,Rice,FAQ,111,51,2061,1861,3061
2024-04-27,Maharashtra,Pune,Rice,FAQ,219,159,1569,3369,2569
2024-05-04,Maharashtra,Pune,Rice,FAQ,57,97,1207,2007,2807
2024-05-11,Maharashtra,Pune,Rice,FAQ,218,158,2168,2968,3168
2024-05-18,Maharashtra,Pune,Rice,FAQ,239,179,1889,3189,2589
2024-05-25,Maharashtra,Pune,Rice,FAQ,176,166,2326,3126,1526
2024-06-01,Maharashtra,Pune,Rice,FAQ,53,93,1203,3003,1603
2024-06-08,Maharashtra,Pune,Rice,FAQ,233,173,2483,3783,2583
2024-06-15,Maharashtra,Pune,Rice,FAQ,144,184,1894,2694,2894
2024-06-22,Maharashtra,Pune,Rice,FAQ,211,51,1761,2561,2761
2024-06-29,Maharashtra,Pune,Rice,FAQ,212,52,2362,2162,2762
2024-07-06,Maharashtra,Pune,Rice,FAQ,186,176,2336,2136,2136
2024-07-13,Maharashtra,Pune,Rice,FAQ,101,141,1551,2851,2851
2024-07-20,Maharashtra,Pune,Rice,FAQ,125,65,1175,3475,3075
2024-07-27,Maharashtra,Pune,Rice,FAQ,131,121,2281,3081,1481
2024-08-03,Maharashtra,Pune,Rice,FAQ,169,109,1519,3319,2519
2024-08-10,Maharashtra,Pune,Rice,FAQ,97,187,2347,2647,1847
2024-08-17,Maharashtra,Pune,Rice,FAQ,69,109,1519,2819,2819
2024-08-24,Maharashtra,Pune,Rice,FAQ,137,127,2287,2087,2687
2024-08-31,Maharashtra,Pune,Rice,FAQ,151,91,2101,2901,1901
2024-09-07,Maharashtra,Pune,Rice,FAQ,98,138,1848,2648,2248
2024-09-14,Maharashtra,Pune,Rice,FAQ,84,124,1534,2834,1634
2024-09-21,Maharashtra,Pune,Rice,FAQ,51,141,1701,2001,1801
2024-09-28,Maharashtra,Pune,Rice,FAQ,177,167,1727,2527,1527
2022-01-01,Maharashtra,Pune,Wheat,FAQ,123,163,1573,1873,2273
2022-01-08,Maharashtra,Pune,Wheat,FAQ,221,111,1671,1971,1771
2022-01-15,Maharashtra,Pune,Wheat,FAQ,247,137,1097,2397,2397
2022-01-22,Maharashtra,Pune,Wheat,FAQ,179,119,1829,2129,1929
2022-01-29,Maharashtra,Pune,Wheat,FAQ,139,129,1989,2289,2089
2022-02-05,Maharashtra,Pune,Wheat,FAQ,100,40,1150,3450,1850
2022-02-12,Maharashtra,Pune,Wheat,FAQ,220,110,1670,2970,2370
2022-02-19,Maharashtra,Pune,Wheat,FAQ,70,60,1320,3620,2620
2022-02-26,Maharashtra,Pune,Wheat,FAQ,120,160,1870,2670,1670
2022-03-05,Maharashtra,Pune,Wheat,FAQ,87,77,1337,3637,1437
2022-03-12,Maharashtra,Pune,Wheat,FAQ,175,165,2025,3325,2725
2022-03-19,Maharashtra,Pune,Wheat,FAQ,66,56,1016,2816,2016
2022-03-26,Maharashtra,Pune,Wheat,FAQ,194,134,1544,2344,2544
2022-04-02,Maharashtra,Pune,Wheat,FAQ,127,167,2177,2477,1677
2022-04-09,Maharashtra,Pune,Wheat,FAQ,202,42,1752,3552,2152
2022-04-16,Maharashtra,Pune,Wheat,FAQ,65,55,2215,3015,2615
2022-04-23,Maharashtra,Pune,Wheat,FAQ,105,45,1155,3455,3055
2022-04-30,Maharashtra,Pune,Wheat,FAQ,102,142,1552,1852,2852
2022-05-07,Maharashtra,Pune,Wheat,FAQ,116,106,1666,2466,2666
2022-05-14,Maharashtra,Pune,Wheat,FAQ,199,89,1949,3749,1749
2022-05-21,Maharashtra,Pune,Wheat,FAQ,206,146,2156,1956,3156
2022-05-28,Maharashtra,Pune,Wheat,FAQ,116,56,2366,2666,1866
2022-06-04,Maharashtra,Pune,Wheat,FAQ,70,160,1720,2020,2420
2022-06-11,Maharashtra,Pune,Wheat,FAQ,80,70,2230,3030,2630
2022-06-18,Maharashtra,Pune,Wheat,FAQ,102,42,2352,2652,2452
2022-06-25,Maharashtra,Pune,Wheat,FAQ,83,173,1733,3033,2433
2022-07-02,Maharashtra,Pune,Wheat,FAQ,139,79,1189,2489,1889
2022-07-09,Maharashtra,Pune,Wheat,FAQ,203,143,2453,2753,1953
2022-07-16,Maharashtra,Pune,Wheat,FAQ,110,150,1260,2060,1660
2022-07-23,Maharashtra,Pune,Wheat,FAQ,56,146,2306,2606,1806
2022-07-30,Maharashtra,Pune,Wheat,FAQ,77,67,1027,2827,1427
2022-08-06,Maharashtra,Pune,Wheat,FAQ,226,116,1676,1976,1776
2022-08-13,Maharashtra,Pune,Wheat,FAQ,142,132,2292,2092,2092
2022-08-20,Maharashtra,Pune,Wheat,FAQ,120,110,1670,2470,1470
2022-08-27,Maharashtra,Pune,Wheat,FAQ,201,91,2251,3551,2351
2022-09-03,Maharashtra,Pune,Wheat,FAQ,120,160,1870,3670,2270
2022-09-10,Maharashtra,Pune,Wheat,FAQ,114,54,1764,3064,1864
2022-09-17,Maharashtra,Pune,Wheat,FAQ,162,102,1812,3112,1912
2022-09-24,Maharashtra,Pune,Wheat,FAQ,249,139,1699,1999,1799
2022-10-01,Maharashtra,Pune,Wheat,FAQ,116,106,1066,1866,1466
2022-10-08,Maharashtra,Pune,Wheat,FAQ,238,178,2188,2988,3188
2022-10-15,Maharashtra,Pune,Wheat,FAQ,219,59,1169,1969,2769
2022-10-22,Maharashtra,Pune,Wheat,FAQ,88,128,1238,3038,1638
2022-10-29,Maharashtra,Pune,Wheat,FAQ,54,94,1504,2804,2204
2022-11-05,Maharashtra,Pune,Wheat,FAQ,165,105,1215,2515,2515
2022-11-12,Maharashtra,Pune,Wheat,FAQ,182,72,1632,1932,1732
2022-11-19,Maharashtra,Pune,Wheat,FAQ,176,166,2326,2126,2126
2022-11-26,Maharashtra,Pune,Wheat,FAQ,164,54,1614,1914,2914
2022-12-03,Maharashtra,Pune,Wheat,FAQ,66,56,1616,2416,2016
2022-12-10,Maharashtra,Pune,Wheat,FAQ,245,135,1995,2795,2995
2022-12-17,Maharashtra,Pune,Wheat,FAQ,105,95,1955,3255,2655
2022-12-24,Maharashtra,Pune,Wheat,FAQ,215,105,2265,3565,2965
2022-12-31,Maharashtra,Pune,Wheat,FAQ,171,161,2321,2121,2121
2023-01-07,Maharashtra,Pune,Wheat,FAQ,184,74,1634,2934,2934
2023-01-14,Maharashtra,Pune,Wheat,FAQ,203,143,1553,2353,3153
2023-01-21,Maharashtra,Pune,Wheat,FAQ,218,108,2268,3568,2368
2023-01-28,Maharashtra,Pune,Wheat,FAQ,200,90,1050,3350,2350
2023-02-04,Maharashtra,Pune,Wheat,FAQ,231,71,1781,3581,2181
2023-02-11,Maharashtra,Pune,Wheat,FAQ,142,132,1392,2692,2692
2023-02-18,Maharashtra,Pune,Wheat,FAQ,172,112,1822,2122,3122
2023-02-25,Maharashtra,Pune,Wheat,FAQ,182,122,1532,3332,3132
2023-03-04,Maharashtra,Pune,Wheat,FAQ,179,69,2229,2529,1729
2023-03-11,Maharashtra,Pune,Wheat,FAQ,68,108,2418,3218,2818
2023-03-18,Maharashtra,Pune,Wheat,FAQ,208,98,1658,1958,2358
2023-03-25,Maharashtra,Pune,Wheat,FAQ,152,142,2302,3102,2102
2023-04-01,Maharashtra,Pune,Wheat,FAQ,224,114,1074,2374,2974
2023-04-08,Maharashtra,Pune,Wheat,FAQ,164,54,1614,1914,2314
2023-04-15,Maharashtra,Pune,Wheat,FAQ,189,129,2439,3739,3139
2023-04-22,Maharashtra,Pune,Wheat,FAQ,184,74,1034,3334,2934
2023-04-29,Maharashtra,Pune,Wheat,FAQ,76,66,1926,2226,2626
2023-05-06,Maharashtra,Pune,Wheat,FAQ,121,61,2371,3671,2471
2023-05-13,Maharashtra,Pune,Wheat,FAQ,145,185,1895,2695,2895
2023-05-20,Maharashtra,Pune,Wheat,FAQ,191,181,1441,2741,1541
2023-05-27,Maharashtra,Pune,Wheat,FAQ,177,67,1627,2927,2327
2023-06-03,Maharashtra,Pune,Wheat,FAQ,122,62,2072,1872,3072
2023-06-10,Maharashtra,Pune,Wheat,FAQ,54,144,2304,3604,2404
2023-06-17,Maharashtra,Pune,Wheat,FAQ,77,167,1727,2027,2427
2023-06-24,Maharashtra,Pune,Wheat,FAQ,55,145,2305,3605,3005
2023-07-01,Maharashtra,Pune,Wheat,FAQ,234,174,1584,2384,2584
2023-07-08,Maharashtra,Pune,Wheat,FAQ,163,53,2213,2513,2913
2023-07-15,Maharashtra,Pune,Wheat,FAQ,105,95,2255,3055,2655
2023-07-22,Maharashtra,Pune,Wheat,FAQ,233,173,2183,1983,1983
2023-07-29,Maharashtra,Pune,Wheat,FAQ,100,90,1950,2250,2050
2023-08-05,Maharashtra,Pune,Wheat,FAQ,108,148,2458,2258,2858
2023-08-12,Maharashtra,Pune,Wheat,FAQ,233,173,1583,3383,1983
2023-08-19,Maharashtra,Pune,Wheat,FAQ,151,141,1701,2501,2701
2023-08-26,Maharashtra,Pune,Wheat,FAQ,122,112,1072,1872,2672
2023-09-02,Maharashtra,Pune,Wheat,FAQ,115,105,1365,2665,2065
2023-09-09,Maharashtra,Pune,Wheat,FAQ,183,73,1933,3733,2333
2023-09-16,Maharashtra,Pune,Wheat,FAQ,101,141,1851,2651,2251
2023-09-23,Maharashtra,Pune,Wheat,FAQ,124,114,1974,2274,1474
2023-09-30,Maharashtra,Pune,Wheat,FAQ,98,138,1548,2848,2848
2023-10-07,Maharashtra,Pune,Wheat,FAQ,201,41,1451,2751,2751
2023-10-14,Maharashtra,Pune,Wheat,FAQ,148,138,1998,3298,1498
2023-10-21,Maharashtra,Pune,Wheat,FAQ,130,120,1980,3280,2680
2023-10-28,Maharashtra,Pune,Wheat,FAQ,220,60,1770,2570,2170
2023-11-04,Maharashtra,Pune,Wheat,FAQ,121,161,1871,2671,2871
2023-11-11,Maharashtra,Pune,Wheat,FAQ,210,50,1160,2960,2760
2023-11-18,Maharashtra,Pune,Wheat,FAQ,84,74,1334,2634,2634
2023-11-25,Maharashtra,Pune,Wheat,FAQ,70,160,1120,3420,3020
2023-12-02,Maharashtra,Pune,Wheat,FAQ,241,81,2391,3191,2791
2023-12-09,Maharashtra,Pune,Wheat,FAQ,70,60,2220,2020,1420
2023-12-16,Maharashtra,Pune,Wheat,FAQ,240,180,1590,2390,2590
2023-12-23,Maharashtra,Pune,Wheat,FAQ,171,61,1321,3121,2321
2023-12-30,Maharashtra,Pune,Wheat,FAQ,219,109,1069,3369,2369
2024-01-06,Maharashtra,Pune,Wheat,FAQ,217,57,1467,3767,2767
2024-01-13,Maharashtra,Pune,Wheat,FAQ,154,44,1904,3704,2904
2024-01-20,Maharashtra,Pune,Wheat,FAQ,144,134,1094,2894,1494
2024-01-27,Maharashtra,Pune,Wheat,FAQ,116,106,1066,2866,1466
2024-02-03,Maharashtra,Pune,Wheat,FAQ,163,153,2013,2313,2113
2024-02-10,Maharashtra,Pune,Wheat,FAQ,163,53,1913,3713,1713
2024-02-17,Maharashtra,Pune,Wheat,FAQ,132,72,2382,3682,2482
2024-02-24,Maharashtra,Pune,Wheat,FAQ,157,147,1407,2707,1507
2024-03-02,Maharashtra,Pune,Wheat,FAQ,202,142,1552,2352,3152
2024-03-09,Maharashtra,Pune,Wheat,FAQ,86,176,1136,3436,1836
2024-03-16,Maharashtra,Pune,Wheat,FAQ,231,71,2381,3181,2181
2024-03-23,Maharashtra,Pune,Wheat,FAQ,239,129,1089,2389,1789
2024-03-30,Maharashtra,Pune,Wheat,FAQ,118,108,1668,2468,1468
2024-04-06,Maharashtra,Pune,Wheat,FAQ,145,85,1195,2495,3095
2024-04-13,Maharashtra,Pune,Wheat,FAQ,163,153,2013,2313,2113
2024-04-20,Maharashtra,Pune,Wheat,FAQ,63,53,1313,3613,2613
2024-04-27,Maharashtra,Pune,Wheat,FAQ,209,99,1659,1959,1759
2024-05-04,Maharashtra,Pune,Wheat,FAQ,208,98,1658,1958,2358
2024-05-11,Maharashtra,Pune,Wheat,FAQ,72,62,1022,1822,2622
2024-05-18,Maharashtra,Pune,Wheat,FAQ,222,112,1372,2172,2372
2024-05-25,Maharashtra,Pune,Wheat,FAQ,166,56,2216,3516,2916
2024-06-01,Maharashtra,Pune,Wheat,FAQ,127,67,1777,2077,2477
2024-06-08,Maharashtra,Pune,Wheat,FAQ,94,184,2044,1844,2444
2024-06-15,Maharashtra,Pune,Wheat,FAQ,117,107,1667,2467,2667
2024-06-22,Maharashtra,Pune,Wheat,FAQ,217,107,1067,3367,2967
2024-06-29,Maharashtra,Pune,Wheat,FAQ,147,87,1197,2497,1897
2024-07-06,Maharashtra,Pune,Wheat,FAQ,170,110,1520,2320,1920
2024-07-13,Maharashtra,Pune,Wheat,FAQ,121,61,1771,2071,3071
2024-07-20,Maharashtra,Pune,Wheat,FAQ,126,66,1776,2076,3076
2024-07-27,Maharashtra,Pune,Wheat,FAQ,210,100,1060,3360,2360
2024-08-03,Maharashtra,Pune,Wheat,FAQ,213,103,1663,1963,2963
2024-08-10,Maharashtra,Pune,Wheat,FAQ,111,151,1261,3061,1661
2024-08-17,Maharashtra,Pune,Wheat,FAQ,208,98,1058,2358,1758
2024-08-24,Maharashtra,Pune,Wheat,FAQ,63,103,2113,2413,2813
2024-08-31,Maharashtra,Pune,Wheat,FAQ,189,79,1939,2739,1739
2024-09-07,Maharashtra,Pune,Wheat,FAQ,186,176,1436,2736,1536
2024-09-14,Maharashtra,Pune,Wheat,FAQ,206,146,1256,2556,3156
2024-09-21,Maharashtra,Pune,Wheat,FAQ,168,58,1918,3718,2918
2024-09-28,Maharashtra,Pune,Wheat,FAQ,124,164,2174,3474,1674
2022-01-01,Maharashtra,Pune,Onion,FAQ,162,52,2212,3512,2912
2022-01-08,Maharashtra,Pune,Onion,FAQ,160,50,2210,2510,2310
2022-01-15,Maharashtra,Pune,Onion,FAQ,130,70,2080,2880,1880
2022-01-22,Maharashtra,Pune,Onion,FAQ,129,119,1379,2679,1479
2022-01-29,Maharashtra,Pune,Onion,FAQ,206,46,2356,2156,2156
2022-02-05,Maharashtra,Pune,Onion,FAQ,214,104,1664,1964,2964
2022-02-12,Maharashtra,Pune,Onion,FAQ,180,70,2230,2530,2930
2022-02-19,Maharashtra,Pune,Onion,FAQ,101,141,1851,2651,1651
2022-02-26,Maharashtra,Pune,Onion,FAQ,150,40,1300,2100,1700
2022-03-05,Maharashtra,Pune,Onion,FAQ,78,118,1228,3028,2228
2022-03-12,Maharashtra,Pune,Onion,FAQ,104,94,1654,3454,2054
2022-03-19,Maharashtra,Pune,Onion,FAQ,111,151,1861,2661,1661
2022-03-26,Maharashtra,Pune,Onion,FAQ,96,186,1746,3046,1846
2022-04-02,Maharashtra,Pune,Onion,FAQ,154,94,2404,2704,2504
2022-04-09,Maharashtra,Pune,Onion,FAQ,222,62,1172,1972,2172
2022-04-16,Maharashtra,Pune,Onion,FAQ,103,143,1553,2853,1653
2022-04-23,Maharashtra,Pune,Onion,FAQ,180,170,1430,2730,2730
2022-04-30,Maharashtra,Pune,Onion,FAQ,84,174,2034,1834,2434
2022-05-07,Maharashtra,Pune,Onion,FAQ,153,43,1603,1903,2303
2022-05-14,Maharashtra,Pune,Onion,FAQ,187,127,1837,2137,2537
2022-05-21,Maharashtra,Pune,Onion,FAQ,110,150,2160,2460,2260
2022-05-28,Maharashtra,Pune,Onion,FAQ,186,176,1136,2936,1536
2022-06-04,Maharashtra,Pune,Onion,FAQ,103,93,1953,2253,2653
2022-06-11,Maharashtra,Pune,Onion,FAQ,69,109,2119,2419,2219
2022-06-18,Maharashtra,Pune,Onion,FAQ,55,45,1005,2805,1405
2022-06-25,Maharashtra,Pune,Onion,FAQ,167,57,2217,2517,2917
2022-07-02,Maharashtra,Pune,Onion,FAQ,113,153,1263,3063,2263
2022-07-09,Maharashtra,Pune,Onion,FAQ,65,55,1015,1815,2615
2022-07-16,Maharashtra,Pune,Onion,FAQ,229,169,2479,2779,3179
2022-07-23,Maharashtra,Pune,Onion,FAQ,236,76,1486,3786,1586
2022-07-30,Maharashtra,Pune,Onion,FAQ,157,47,1007,3307,1707
2022-08-06,Maharashtra,Pune,Onion,FAQ,181,121,1531,2331,2531
2022-08-13,Maharashtra,Pune,Onion,FAQ,124,164,2474,3274,1674
2022-08-20,Maharashtra,Pune,Onion,FAQ,221,161,2471,3771,3171
2022-08-27,Maharashtra,Pune,Onion,FAQ,228,168,2478,3778,1978
2022-09-03,Maharashtra,Pune,Onion,FAQ,88,128,1538,1838,2838
2022-09-10,Maharashtra,Pune,Onion,FAQ,206,96,2256,3556,1756
2022-09-17,Maharashtra,Pune,Onion,FAQ,86,76,2236,2036,2636
2022-09-24,Maharashtra,Pune,Onion,FAQ,101,141,2151,2451,2851
2022-10-01,Maharashtra,Pune,Onion,FAQ,102,92,1652,2452,1452
2022-10-08,Maharashtra,Pune,Onion,FAQ,239,179,1889,3189,1989
2022-10-15,Maharashtra,Pune,Onion,FAQ,237,177,1587,2387,1987
2022-10-22,Maharashtra,Pune,Onion,FAQ,173,163,2323,2123,2123
2022-10-29,Maharashtra,Pune,Onion,FAQ,222,162,1572,3372,2572
2022-11-05,Maharashtra,Pune,Onion,FAQ,57,97,1207,3007,1607
2022-11-12,Maharashtra,Pune,Onion,FAQ,204,44,1454,2754,2154
2022-11-19,Maharashtra,Pune,Onion,FAQ,178,118,1528,3328,1928
2022-11-26,Maharashtra,Pune,Onion,FAQ,96,136,1546,1846,2846
2022-12-03,Maharashtra,Pune,Onion,FAQ,238,78,2388,2188,1588
2022-12-10,Maharashtra,Pune,Onion,FAQ,90,80,1340,2640,2040
2022-12-17,Maharashtra,Pune,Onion,FAQ,191,181,2041,2341,2141
2022-12-24,Maharashtra,Pune,Onion,FAQ,249,189,2499,2799,3199
2022-12-31,Maharashtra,Pune,Onion,FAQ,225,115,1375,2175,2975
2023-01-07,Maharashtra,Pune,Onion,FAQ,139,79,1189,3489,3089
2023-01-14,Maharashtra,Pune,Onion,FAQ,234,174,1284,3584,2584
2023-01-21,Maharashtra,Pune,Onion,FAQ,202,92,1352,2152,2952
