date,state,district,latitude,longitude,temperature_max,temperature_min,humidity,rainfall,wind_speed,pressure
2019-02-21,Punjab,Ludhiana,30.9,75.85,15.6,4.6,86,0,16,1026
2019-02-22,Punjab,Ludhiana,30.9,75.85,9.6,6.6,60,0,5,1020
2019-02-23,Punjab,Ludhiana,30.9,75.85,17.6,8.6,78,0,8,1018
2019-02-24,Punjab,Ludhiana,30.9,75.85,12.6,7.6,83,0,13,1013
2019-02-25,Punjab,Ludhiana,30.9,75.85,12.6,9.6,63,3,8,1023
2019-02-26,Punjab,Ludhiana,30.9,75.85,9.6,6.6,70,0,15,1020
2019-02-27,Punjab,Ludhiana,30.9,75.85,15.6,8.6,66,0,11,1026
2019-02-28,Punjab,Ludhiana,30.9,75.85,16.6,11.6,67,0,12,1017
2019-03-01,Punjab,Ludhiana,30.9,75.85,28.6,17.6,69,0,14,1029
2019-03-02,Punjab,Ludhiana,30.9,75.85,21.6,16.6,72,0,17,1012
2019-03-03,Punjab,Ludhiana,30.9,75.85,20.6,21.6,61,1,6,1021
2019-03-04,Punjab,Ludhiana,30.9,75.85,20.6,15.6,81,0,11,1011
2019-03-05,Punjab,Ludhiana,30.9,75.85,22.6,15.6,63,0,8,1023
2019-03-06,Punjab,Ludhiana,30.9,75.85,19.6,20.6,70,0,15,1020
2019-03-07,Punjab,Ludhiana,30.9,75.85,20.6,17.6,61,0,6,1021
2019-03-08,Punjab,Ludhiana,30.9,75.85,26.6,15.6,77,0,7,1027
2019-03-09,Punjab,Ludhiana,30.9,75.85,28.6,17.6,69,0,14,1029
2019-03-10,Punjab,Ludhiana,30.9,75.85,25.6,14.6,86,0,16,1026
2019-03-11,Punjab,Ludhiana,30.9,75.85,27.6,14.6,78,0,8,1018
2019-03-12,Punjab,Ludhiana,30.9,75.85,25.6,18.6,76,6,6,1026
2019-03-13,Punjab,Ludhiana,30.9,75.85,25.6,18.6,76,0,6,1026
2019-03-14,Punjab,Ludhiana,30.9,75.85,26.6,17.6,67,0,12,1017
2019-03-15,Punjab,Ludhiana,30.9,75.85,19.6,16.6,80,0,10,1020
2019-03-16,Punjab,Ludhiana,30.9,75.85,26.6,17.6,77,0,7,1017
2019-03-17,Punjab,Ludhiana,30.9,75.85,23.6,20.6,64,0,9,1024
2019-03-18,Punjab,Ludhiana,30.9,75.85,23.6,20.6,84,4,14,1024
2019-03-19,Punjab,Ludhiana,30.9,75.85,24.6,21.6,85,0,15,1025
2019-03-20,Punjab,Ludhiana,30.9,75.85,26.6,15.6,77,0,7,1027
2019-03-21,Punjab,Ludhiana,30.9,75.85,23.6,20.6,74,4,19,1024
2019-03-22,Punjab,Ludhiana,30.9,75.85,28.6,15.6,69,9,14,1019
2019-03-23,Punjab,Ludhiana,30.9,75.85,24.6,21.6,65,0,10,1025
2019-03-24,Punjab,Ludhiana,30.9,75.85,26.6,19.6,77,0,7,1027
2019-03-25,Punjab,Ludhiana,30.9,75.85,20.6,21.6,81,0,11,1021
2019-03-26,Punjab,Ludhiana,30.9,75.85,20.6,19.6,71,0,16,1011
2019-03-27,Punjab,Ludhiana,30.9,75.85,25.6,16.6,66,0,11,1016
2019-03-28,Punjab,Ludhiana,30.9,75.85,21.6,18.6,72,0,17,1022
2019-03-29,Punjab,Ludhiana,30.9,75.85,26.6,19.6,67,0,12,1027
2019-03-30,Punjab,Ludhiana,30.9,75.85,23.6,18.6,84,0,14,1014
2019-03-31,Punjab,Ludhiana,30.9,75.85,23.6,20.6,84,4,14,1024
2019-04-01,Punjab,Ludhiana,30.9,75.85,37.5,30.6,68,8,13,1028
2019-04-02,Punjab,Ludhiana,30.9,75.85,29.6,28.6,80,0,10,1010
2019-04-03,Punjab,Ludhiana,30.9,75.85,34.5,27.6,65,0,10,1025
2019-04-04,Punjab,Ludhiana,30.9,75.85,32.5,25.6,83,0,13,1023
2019-04-05,Punjab,Ludhiana,30.9,75.85,29.6,26.6,60,0,5,1020
2019-04-06,Punjab,Ludhiana,30.9,75.85,36.5,25.6,67,0,12,1027
2019-04-07,Punjab,Ludhiana,30.9,75.85,37.5,30.6,68,8,13,1028
2019-04-08,Punjab,Ludhiana,30.9,75.85,36.5,27.6,77,0,7,1017
2019-04-09,Punjab,Ludhiana,30.9,75.85,30.6,27.6,61,0,6,1021
2019-04-10,Punjab,Ludhiana,30.9,75.85,35.5,28.6,76,6,6,1026
2019-04-11,Punjab,Ludhiana,30.9,75.85,29.6,28.6,60,0,5,1010
2019-04-12,Punjab,Ludhiana,30.9,75.85,37.5,30.6,88,0,18,1028
2019-04-13,Punjab,Ludhiana,30.9,75.85,35.5,28.6,76,0,6,1026
2019-04-14,Punjab,Ludhiana,30.9,75.85,30.6,27.6,71,0,16,1021
2019-04-15,Punjab,Ludhiana,30.9,75.85,31.6,30.6,62,0,7,1012
2019-04-16,Punjab,Ludhiana,30.9,75.85,37.5,28.6,88,0,18,1018
2019-04-17,Punjab,Ludhiana,30.9,75.85,30.6,25.6,71,0,16,1011
2019-04-18,Punjab,Ludhiana,30.9,75.85,37.5,28.6,78,0,8,1018
2019-04-19,Punjab,Ludhiana,30.9,75.85,38.5,25.6,89,0,19,1019
2019-04-20,Punjab,Ludhiana,30.9,75.85,38.5,29.6,79,0,9,1019
2019-04-21,Punjab,Ludhiana,30.9,75.85,35.5,28.6,76,0,6,1026
2019-04-22,Punjab,Ludhiana,30.9,75.85,32.5,31.6,73,0,18,1013
2019-04-23,Punjab,Ludhiana,30.9,75.85,32.5,31.6,83,0,13,1013
2019-04-24,Punjab,Ludhiana,30.9,75.85,32.5,29.6,83,0,13,1023
2019-04-25,Punjab,Ludhiana,30.9,75.85,35.5,26.6,86,0,16,1016
2019-04-26,Punjab,Ludhiana,30.9,75.85,37.5,24.6,78,0,8,1018
2019-04-27,Punjab,Ludhiana,30.9,75.85,33.5,28.6,74,0,19,1014
2019-04-28,Punjab,Ludhiana,30.9,75.85,33.5,28.6,74,4,19,1014
2019-04-29,Punjab,Ludhiana,30.9,75.85,33.5,24.6,64,0,9,1014
2019-04-30,Punjab,Ludhiana,30.9,75.85,29.6,26.6,70,0,15,1020
2019-05-01,Punjab,Ludhiana,30.9,75.85,38.5,25.6,89,0,19,1019
2019-05-02,Punjab,Ludhiana,30.9,75.85,37.5,26.6,78,0,8,1028
2019-05-03,Punjab,Ludhiana,30.9,75.85,29.6,24.6,70,0,15,1010
2019-05-04,Punjab,Ludhiana,30.9,75.85,37.5,26.6,78,0,8,1028
2019-05-05,Punjab,Ludhiana,30.9,75.85,29.6,24.6,80,0,10,1010
2019-05-06,Punjab,Ludhiana,30.9,75.85,35.5,26.6,66,0,11,1016
2019-05-07,Punjab,Ludhiana,30.9,75.85,31.6,30.6,62,0,7,1012
2019-05-08,Punjab,Ludhiana,30.9,75.85,35.5,30.6,86,0,16,1016
2019-05-09,Punjab,Ludhiana,30.9,75.85,31.6,24.6,72,0,17,1022
2019-05-10,Punjab,Ludhiana,30.9,75.85,31.6,30.6,82,0,12,1012
2019-05-11,Punjab,Ludhiana,30.9,75.85,35.5,28.6,86,0,16,1026
2019-05-12,Punjab,Ludhiana,30.9,75.85,38.5,31.6,79,9,9,1029
2019-05-13,Punjab,Ludhiana,30.9,75.85,35.5,28.6,86,0,16,1026
2019-05-14,Punjab,Ludhiana,30.9,75.85,36.5,25.6,67,0,12,1027
2019-05-15,Punjab,Ludhiana,30.9,75.85,29.6,28.6,60,0,5,1010
2019-05-16,Punjab,Ludhiana,30.9,75.85,38.5,27.6,69,0,14,1029
2019-05-17,Punjab,Ludhiana,30.9,75.85,36.5,29.6,87,0,17,1027
2019-05-18,Punjab,Ludhiana,30.9,75.85,30.6,27.6,71,0,16,1021
2019-05-19,Punjab,Ludhiana,30.9,75.85,29.6,30.6,80,0,10,1020
2019-05-20,Punjab,Ludhiana,30.9,75.85,36.5,31.6,77,0,7,1017
2019-05-21,Punjab,Ludhiana,30.9,75.85,31.6,26.6,82,0,12,1012
2019-05-22,Punjab,Ludhiana,30.9,75.85,35.5,28.6,86,6,16,1026
2019-05-23,Punjab,Ludhiana,30.9,75.85,32.5,31.6,73,0,18,1013
2019-05-24,Punjab,Ludhiana,30.9,75.85,38.5,25.6,69,0,14,1019
2019-05-25,Punjab,Ludhiana,30.9,75.85,29.6,26.6,60,0,5,1020
2019-05-26,Punjab,Ludhiana,30.9,75.85,30.6,25.6,61,0,6,1011
2019-05-27,Punjab,Ludhiana,30.9,75.85,38.5,29.6,89,0,19,1019
2019-05-28,Punjab,Ludhiana,30.9,75.85,30.6,27.6,71,0,16,1021
2019-05-29,Punjab,Ludhiana,30.9,75.85,32.5,29.6,73,3,18,1023
2019-05-30,Punjab,Ludhiana,30.9,75.85,32.5,29.6,73,3,18,1023
2019-05-31,Punjab,Ludhiana,30.9,75.85,34.5,25.6,85,5,15,1015
2019-06-01,Punjab,Ludhiana,30.9,75.85,33.5,26.6,74,0,19,1024
2019-06-02,Punjab,Ludhiana,30.9,75.85,34.5,29.6,85,0,15,1015
2019-06-03,Punjab,Ludhiana,30.9,75.85,38.5,31.6,69,9,14,1029
2019-06-04,Punjab,Ludhiana,30.9,75.85,36.5,29.6,67,0,12,1027
2019-06-05,Punjab,Ludhiana,30.9,75.85,31.6,28.6,72,0,17,1022
2019-06-06,Punjab,Ludhiana,30.9,75.85,38.5,31.6,79,0,9,1029
2019-06-07,Punjab,Ludhiana,30.9,75.85,37.5,28.6,78,0,8,1018
2019-06-08,Punjab,Ludhiana,30.9,75.85,30.6,29.6,61,1,6,1011
2019-06-09,Punjab,Ludhiana,30.9,75.85,38.5,31.6,79,0,9,1029
2019-06-10,Punjab,Ludhiana,30.9,75.85,29.6,30.6,60,0,5,1020
2019-06-11,Punjab,Ludhiana,30.9,75.85,31.6,30.6,72,0,17,1012
2019-06-12,Punjab,Ludhiana,30.9,75.85,38.5,25.6,69,0,14,1019
2019-06-13,Punjab,Ludhiana,30.9,75.85,31.6,30.6,62,0,7,1012
2019-06-14,Punjab,Ludhiana,30.9,75.85,31.6,24.6,82,0,12,1022
2019-06-15,Punjab,Ludhiana,30.9,75.85,30.6,27.6,71,0,16,1021
2019-06-16,Punjab,Ludhiana,30.9,75.85,29.6,28.6,60,0,5,1010
2019-06-17,Punjab,Ludhiana,30.9,75.85,35.5,26.6,76,6,6,1016
2019-06-18,Punjab,Ludhiana,30.9,75.85,34.5,29.6,85,0,15,1015
2019-06-19,Punjab,Ludhiana,30.9,75.85,31.6,26.6,82,0,12,1012
2019-06-20,Punjab,Ludhiana,30.9,75.85,38.5,29.6,69,0,14,1019
2019-06-21,Punjab,Ludhiana,30.9,75.85,38.5,29.6,69,0,14,1019
2019-06-22,Punjab,Ludhiana,30.9,75.85,35.5,28.6,66,0,11,1026
2019-06-23,Punjab,Ludhiana,30.9,75.85,33.5,30.6,84,0,14,1024
2019-06-24,Punjab,Ludhiana,30.9,75.85,33.5,28.6,84,0,14,1014
2019-06-25,Punjab,Ludhiana,30.9,75.85,30.6,31.6,61,0,6,1021
2019-06-26,Punjab,Ludhiana,30.9,75.85,29.6,26.6,60,0,5,1020
2019-06-27,Punjab,Ludhiana,30.9,75.85,38.5,29.6,89,9,19,1019
2019-06-28,Punjab,Ludhiana,30.9,75.85,38.5,25.6,79,9,9,1019
2019-06-29,Punjab,Ludhiana,30.9,75.85,31.6,26.6,82,0,12,1012
2019-06-30,Punjab,Ludhiana,30.9,75.85,32.5,31.6,73,0,18,1013
2019-07-01,Punjab,Ludhiana,30.9,75.85,22.6,17.6,63,3,8,1013
2019-07-02,Punjab,Ludhiana,30.9,75.85,24.6,21.6,75,5,5,1025
2019-07-03,Punjab,Ludhiana,30.9,75.85,24.6,21.6,85,0,15,1025
2019-07-04,Punjab,Ludhiana,30.9,75.85,19.6,18.6,60,0,5,1010
2019-07-05,Punjab,Ludhiana,30.9,75.85,21.6,16.6,62,0,7,1012
2019-07-06,Punjab,Ludhiana,30.9,75.85,28.6,19.6,89,0,19,1019
2019-07-07,Punjab,Ludhiana,30.9,75.85,22.6,21.6,63,0,8,1013
2019-07-08,Punjab,Ludhiana,30.9,75.85,21.6,20.6,82,2,12,1012
2019-07-09,Punjab,Ludhiana,30.9,75.85,28.6,21.6,79,0,9,1029
2019-07-10,Punjab,Ludhiana,30.9,75.85,24.6,19.6,85,0,15,1015
2019-07-11,Punjab,Ludhiana,30.9,75.85,24.6,15.6,75,0,5,1015
2019-07-12,Punjab,Ludhiana,30.9,75.85,26.6,15.6,67,7,12,1027
2019-07-13,Punjab,Ludhiana,30.9,75.85,26.6,21.6,77,0,7,1017
2019-07-14,Punjab,Ludhiana,30.9,75.85,26.6,15.6,77,0,7,1027
2019-07-15,Punjab,Ludhiana,30.9,75.85,22.6,15.6,83,0,13,1023
2019-07-16,Punjab,Ludhiana,30.9,75.85,22.6,17.6,63,3,8,1013
2019-07-17,Punjab,Ludhiana,30.9,75.85,24.6,19.6,85,0,15,1015
2019-07-18,Punjab,Ludhiana,30.9,75.85,28.6,19.6,89,0,19,1019
2019-07-19,Punjab,Ludhiana,30.9,75.85,21.6,14.6,62,0,7,1022
2019-07-20,Punjab,Ludhiana,30.9,75.85,24.6,19.6,75,0,5,1015
2019-07-21,Punjab,Ludhiana,30.9,75.85,22.6,21.6,83,0,13,1013
2019-07-22,Punjab,Ludhiana,30.9,75.85,19.6,14.6,60,0,5,1010
2019-07-23,Punjab,Ludhiana,30.9,75.85,27.6,16.6,68,0,13,1028
2019-07-24,Punjab,Ludhiana,30.9,75.85,26.6,21.6,87,0,17,1017
2019-07-25,Punjab,Ludhiana,30.9,75.85,27.6,18.6,88,0,18,1018
2019-07-26,Punjab,Ludhiana,30.9,75.85,22.6,17.6,63,3,8,1013
2019-07-27,Punjab,Ludhiana,30.9,75.85,23.6,18.6,64,0,9,1014
2019-07-28,Punjab,Ludhiana,30.9,75.85,19.6,18.6,70,0,15,1010
2019-07-29,Punjab,Ludhiana,30.9,75.85,23.6,18.6,74,4,19,1014
2019-07-30,Punjab,Ludhiana,30.9,75.85,26.6,17.6,67,0,12,1017
2019-07-31,Punjab,Ludhiana,30.9,75.85,22.6,15.6,73,3,18,1023
2019-08-01,Punjab,Ludhiana,30.9,75.85,22.6,17.6,63,0,8,1013
2019-08-02,Punjab,Ludhiana,30.9,75.85,27.6,16.6,88,0,18,1028
2019-08-03,Punjab,Ludhiana,30.9,75.85,23.6,20.6,64,0,9,1024
2019-08-04,Punjab,Ludhiana,30.9,75.85,25.6,16.6,66,0,11,1016
2019-08-05,Punjab,Ludhiana,30.9,75.85,19.6,16.6,80,0,10,1020
2019-08-06,Punjab,Ludhiana,30.9,75.85,19.6,18.6,80,0,10,1010
2019-08-07,Punjab,Ludhiana,30.9,75.85,20.6,21.6,71,1,16,1021
2019-08-08,Punjab,Ludhiana,30.9,75.85,25.6,18.6,66,0,11,1026
2019-08-09,Punjab,Ludhiana,30.9,75.85,21.6,16.6,72,0,17,1012
2019-08-10,Punjab,Ludhiana,30.9,75.85,27.6,14.6,78,0,8,1018
2019-08-11,Punjab,Ludhiana,30.9,75.85,20.6,17.6,81,0,11,1021
2019-08-12,Punjab,Ludhiana,30.9,75.85,20.6,15.6,81,0,11,1011
2019-08-13,Punjab,Ludhiana,30.9,75.85,20.6,21.6,81,1,11,1021
2019-08-14,Punjab,Ludhiana,30.9,75.85,28.6,21.6,89,0,19,1029
2019-08-15,Punjab,Ludhiana,30.9,75.85,24.6,15.6,85,5,15,1015
2019-08-16,Punjab,Ludhiana,30.9,75.85,24.6,15.6,85,0,15,1015
2019-08-17,Punjab,Ludhiana,30.9,75.85,28.6,15.6,69,0,14,1019
2019-08-18,Punjab,Ludhiana,30.9,75.85,25.6,14.6,66,6,11,1026
2019-08-19,Punjab,Ludhiana,30.9,75.85,23.6,16.6,64,0,9,1024
2019-08-20,Punjab,Ludhiana,30.9,75.85,28.6,15.6,69,9,14,1019
2019-08-21,Punjab,Ludhiana,30.9,75.85,24.6,15.6,65,0,10,1015
2019-08-22,Punjab,Ludhiana,30.9,75.85,24.6,17.6,85,0,15,1025
2019-08-23,Punjab,Ludhiana,30.9,75.85,22.6,21.6,63,0,8,1013
2019-08-24,Punjab,Ludhiana,30.9,75.85,28.6,15.6,89,0,19,1019
2019-08-25,Punjab,Ludhiana,30.9,75.85,24.6,15.6,65,0,10,1015
2019-08-26,Punjab,Ludhiana,30.9,75.85,25.6,14.6,86,0,16,1026
2019-08-27,Punjab,Ludhiana,30.9,75.85,26.6,19.6,77,0,7,1027
2019-08-28,Punjab,Ludhiana,30.9,75.85,27.6,14.6,68,0,13,1018
2019-08-29,Punjab,Ludhiana,30.9,75.85,24.6,15.6,65,0,10,1015
2019-08-30,Punjab,Ludhiana,30.9,75.85,22.6,21.6,63,0,8,1013
2019-08-31,Punjab,Ludhiana,30.9,75.85,22.6,17.6,83,0,13,1013
2019-09-01,Punjab,Ludhiana,30.9,75.85,23.6,20.6,74,0,19,1024
2019-09-02,Punjab,Ludhiana,30.9,75.85,27.6,16.6,68,0,13,1028
2019-09-03,Punjab,Ludhiana,30.9,75.85,26.6,15.6,67,0,12,1027
2019-09-04,Punjab,Ludhiana,30.9,75.85,21.6,16.6,72,2,17,1012
2019-09-05,Punjab,Ludhiana,30.9,75.85,27.6,20.6,68,0,13,1028
2019-09-06,Punjab,Ludhiana,30.9,75.85,22.6,15.6,73,3,18,1023
2019-09-07,Punjab,Ludhiana,30.9,75.85,22.6,17.6,73,0,18,1013
2019-09-08,Punjab,Ludhiana,30.9,75.85,24.6,19.6,75,0,5,1015
2019-09-09,Punjab,Ludhiana,30.9,75.85,23.6,20.6,64,0,9,1024
2019-09-10,Punjab,Ludhiana,30.9,75.85,22.6,15.6,73,0,18,1023
2019-09-11,Punjab,Ludhiana,30.9,75.85,21.6,20.6,72,0,17,1012
2019-09-12,Punjab,Ludhiana,30.9,75.85,20.6,21.6,71,0,16,1021
2019-09-13,Punjab,Ludhiana,30.9,75.85,24.6,15.6,65,0,10,1015
2019-09-14,Punjab,Ludhiana,30.9,75.85,25.6,14.6,86,0,16,1026
2019-09-15,Punjab,Ludhiana,30.9,75.85,28.6,21.6,69,9,14,1029
2019-09-16,Punjab,Ludhiana,30.9,75.85,26.6,21.6,77,7,7,1017
2019-09-17,Punjab,Ludhiana,30.9,75.85,19.6,20.6,70,0,15,1020
2019-09-18,Punjab,Ludhiana,30.9,75.85,20.6,19.6,71,0,16,1011
2019-09-19,Punjab,Ludhiana,30.9,75.85,26.6,19.6,77,0,7,1027
2019-09-20,Punjab,Ludhiana,30.9,75.85,26.6,17.6,87,0,17,1017
2019-09-21,Punjab,Ludhiana,30.9,75.85,19.6,18.6,70,0,15,1010
2019-09-22,Punjab,Ludhiana,30.9,75.85,21.6,20.6,72,0,17,1012
2019-09-23,Punjab,Ludhiana,30.9,75.85,21.6,18.6,62,2,7,1022
2019-09-24,Punjab,Ludhiana,30.9,75.85,22.6,17.6,73,0,18,1013
2019-09-25,Punjab,Ludhiana,30.9,75.85,21.6,16.6,82,2,12,1012
2019-09-26,Punjab,Ludhiana,30.9,75.85,20.6,19.6,71,0,16,1011
2019-09-27,Punjab,Ludhiana,30.9,75.85,22.6,19.6,63,0,8,1023
2019-09-28,Punjab,Ludhiana,30.9,75.85,20.6,15.6,71,0,16,1011
2019-09-29,Punjab,Ludhiana,30.9,75.85,22.6,15.6,63,3,8,1023
2019-09-30,Punjab,Ludhiana,30.9,75.85,26.6,21.6,87,0,17,1017
2019-10-01,Punjab,Ludhiana,30.9,75.85,19.6,18.6,80,0,10,1010
2019-10-02,Punjab,Ludhiana,30.9,75.85,25.6,14.6,86,0,16,1026
2019-10-03,Punjab,Ludhiana,30.9,75.85,21.6,20.6,72,0,17,1012
2019-10-04,Punjab,Ludhiana,30.9,75.85,28.6,17.6,79,9,9,1029
2019-10-05,Punjab,Ludhiana,30.9,75.85,21.6,14.6,82,0,12,1022
2019-10-06,Punjab,Ludhiana,30.9,75.85,19.6,16.6,60,0,5,1020
2019-10-07,Punjab,Ludhiana,30.9,75.85,24.6,21.6,65,0,10,1025
2019-10-08,Punjab,Ludhiana,30.9,75.85,20.6,15.6,71,0,16,1011
2019-10-09,Punjab,Ludhiana,30.9,75.85,22.6,19.6,73,3,18,1023
2019-10-10,Punjab,Ludhiana,30.9,75.85,28.6,17.6,79,0,9,1029
2019-10-11,Punjab,Ludhiana,30.9,75.85,21.6,18.6,82,2,12,1022
2019-10-12,Punjab,Ludhiana,30.9,75.85,22.6,19.6,83,3,13,1023
2019-10-13,Punjab,Ludhiana,30.9,75.85,26.6,21.6,87,0,17,1017
2019-10-14,Punjab,Ludhiana,30.9,75.85,22.6,17.6,63,3,8,1013
2019-10-15,Punjab,Ludhiana,30.9,75.85,27.6,14.6,78,0,8,1018
2019-10-16,Punjab,Ludhiana,30.9,75.85,20.6,17.6,81,0,11,1021
2019-10-17,Punjab,Ludhiana,30.9,75.85,26.6,21.6,87,7,17,1017
2019-10-18,Punjab,Ludhiana,30.9,75.85,20.6,17.6,81,0,11,1021
2019-10-19,Punjab,Ludhiana,30.9,75.85,21.6,16.6,62,0,7,1012
2019-10-20,Punjab,Ludhiana,30.9,75.85,21.6,20.6,72,0,17,1012
2019-10-21,Punjab,Ludhiana,30.9,75.85,22.6,19.6,83,3,13,1023
2019-10-22,Punjab,Ludhiana,30.9,75.85,22.6,17.6,73,3,18,1013
2019-10-23,Punjab,Ludhiana,30.9,75.85,27.6,18.6,78,0,8,1018
2019-10-24,Punjab,Ludhiana,30.9,75.85,20.6,15.6,71,0,16,1011
2019-10-25,Punjab,Ludhiana,30.9,75.85,21.6,16.6,62,0,7,1012
2019-10-26,Punjab,Ludhiana,30.9,75.85,24.6,21.6,65,5,10,1025
2019-10-27,Punjab,Ludhiana,30.9,75.85,24.6,21.6,85,0,15,1025
2019-10-28,Punjab,Ludhiana,30.9,75.85,22.6,21.6,63,0,8,1013
2019-10-29,Punjab,Ludhiana,30.9,75.85,26.6,21.6,87,0,17,1017
2019-10-30,Punjab,Ludhiana,30.9,75.85,21.6,18.6,82,0,12,1022
2019-10-31,Punjab,Ludhiana,30.9,75.85,19.6,18.6,80,0,10,1010
2019-11-01,Punjab,Ludhiana,30.9,75.85,24.6,19.6,75,0,5,1015
2019-11-02,Punjab,Ludhiana,30.9,75.85,21.6,20.6,72,0,17,1012
2019-11-03,Punjab,Ludhiana,30.9,75.85,23.6,16.6,74,0,19,1024
2019-11-04,Punjab,Ludhiana,30.9,75.85,23.6,18.6,64,4,9,1014
2019-11-05,Punjab,Ludhiana,30.9,75.85,26.6,17.6,67,0,12,1017
2019-11-06,Punjab,Ludhiana,30.9,75.85,26.6,15.6,87,0,17,1027
2019-11-07,Punjab,Ludhiana,30.9,75.85,20.6,19.6,81,0,11,1011
2019-11-08,Punjab,Ludhiana,30.9,75.85,27.6,20.6,68,0,13,1028
2019-11-09,Punjab,Ludhiana,30.9,75.85,25.6,20.6,86,0,16,1016
2019-11-10,Punjab,Ludhiana,30.9,75.85,22.6,21.6,73,3,18,1013
2019-11-11,Punjab,Ludhiana,30.9,75.85,20.6,19.6,61,0,6,1011
2019-11-12,Punjab,Ludhiana,30.9,75.85,21.6,14.6,72,0,17,1022
