year,state,district,crop,area_hectares,production_tonnes,yield_tonnes_per_hectare,irrigated_area_hectares,rainfed_area_hectares
2019,Punjab,Bathinda,Rice,26468.4,66171.0,2.5,18527.9,7940.5
2020,Punjab,Bathinda,Rice,26468.4,66171.0,2.5,18527.9,7940.5
2021,Punjab,Bathinda,Rice,26468.4,66171.0,2.5,18527.9,7940.5
2022,Punjab,Bathinda,Rice,26468.4,66171.0,2.5,18527.9,7940.5
2023,Punjab,Bathinda,Rice,26468.4,66171.0,2.5,18527.9,7940.5
2024,Punjab,Bathinda,Rice,26468.4,66171.0,2.5,18527.9,7940.5
2019,Punjab,Bathinda,Wheat,54361.0,173955.2,3.2,38052.7,16308.3
2020,Punjab,Bathinda,Wheat,54361.0,173955.2,3.2,38052.7,16308.3
2021,Punjab,Bathinda,Wheat,54361.0,173955.2,3.2,38052.7,16308.3
2022,Punjab,Bathinda,Wheat,54361.0,173955.2,3.2,38052.7,16308.3
2023,Punjab,Bathinda,Wheat,54361.0,173955.2,3.2,38052.7,16308.3
2024,Punjab,Bathinda,Wheat,54361.0,173955.2,3.2,38052.7,16308.3
2019,Punjab,Bathinda,Cotton,47924.8,23962.4,0.5,33547.4,14377.4
2020,Punjab,Bathinda,Cotton,47924.8,23962.4,0.5,33547.4,14377.4
2021,Punjab,Bathinda,Cotton,47924.8,23962.4,0.5,33547.4,14377.4
2022,Punjab,Bathinda,Cotton,47924.8,23962.4,0.5,33547.4,14377.4
2023,Punjab,Bathinda,Cotton,47924.8,23962.4,0.5,33547.4,14377.4
2024,Punjab,Bathinda,Cotton,47924.8,23962.4,0.5,33547.4,14377.4
2019,Punjab,Bathinda,Sugarcane,15326.4,1072848.0,70.0,10728.5,4597.9
2020,Punjab,Bathinda,Sugarcane,15326.4,1072848.0,70.0,10728.5,4597.9
2021,Punjab,Bathinda,Sugarcane,15326.4,1072848.0,70.0,10728.5,4597.9
2022,Punjab,Bathinda,Sugarcane,15326.4,1072848.0,70.0,10728.5,4597.9
2023,Punjab,Bathinda,Sugarcane,15326.4,1072848.0,70.0,10728.5,4597.9
2024,Punjab,Bathinda,Sugarcane,15326.4,1072848.0,70.0,10728.5,4597.9
2019,Punjab,Bathinda,Soybean,47321.1,52053.2,1.1,33124.8,14196.3
2020,Punjab,Bathinda,Soybean,47321.1,52053.2,1.1,33124.8,14196.3
2021,Punjab,Bathinda,Soybean,47321.1,52053.2,1.1,33124.8,14196.3
2022,Punjab,Bathinda,Soybean,47321.1,52053.2,1.1,33124.8,14196.3
2023,Punjab,Bathinda,Soybean,47321.1,52053.2,1.1,33124.8,14196.3
2024,Punjab,Bathinda,Soybean,47321.1,52053.2,1.1,33124.8,14196.3
2019,Punjab,Bathinda,Maize,15191.4,42535.9,2.8,10634.0,4557.4
2020,Punjab,Bathinda,Maize,15191.4,42535.9,2.8,10634.0,4557.4
2021,Punjab,Bathinda,Maize,15191.4,42535.9,2.8,10634.0,4557.4
2022,Punjab,Bathinda,Maize,15191.4,42535.9,2.8,10634.0,4557.4
2023,Punjab,Bathinda,Maize,15191.4,42535.9,2.8,10634.0,4557.4
2024,Punjab,Bathinda,Maize,15191.4,42535.9,2.8,10634.0,4557.4
2019,Punjab,Bathinda,Groundnut,11345.4,15883.6,1.4,7941.8,3403.6
2020,Punjab,Bathinda,Groundnut,11345.4,15883.6,1.4,7941.8,3403.6
2021,Punjab,Bathinda,Groundnut,11345.4,15883.6,1.4,7941.8,3403.6
2022,Punjab,Bathinda,Groundnut,11345.4,15883.6,1.4,7941.8,3403.6
2023,Punjab,Bathinda,Groundnut,11345.4,15883.6,1.4,7941.8,3403.6
2024,Punjab,Bathinda,Groundnut,11345.4,15883.6,1.4,7941.8,3403.6
2019,Punjab,Bathinda,Onion,6381.6,114868.8,18.0,4467.1,1914.5
2020,Punjab,Bathinda,Onion,6381.6,114868.8,18.0,4467.1,1914.5
2021,Punjab,Bathinda,Onion,6381.6,114868.8,18.0,4467.1,1914.5
2022,Punjab,Bathinda,Onion,6381.6,114868.8,18.0,4467.1,1914.5
2023,Punjab,Bathinda,Onion,6381.6,114868.8,18.0,4467.1,1914.5
2024,Punjab,Bathinda,Onion,6381.6,114868.8,18.0,4467.1,1914.5
2019,Haryana,Karnal,Rice,58662.0,146655.0,2.5,41063.4,17598.6
2020,Haryana,Karnal,Rice,58662.0,146655.0,2.5,41063.4,17598.6
2021,Haryana,Karnal,Rice,58662.0,146655.0,2.5,41063.4,17598.6
2022,Haryana,Karnal,Rice,58662.0,146655.0,2.5,41063.4,17598.6
2023,Haryana,Karnal,Rice,58662.0,146655.0,2.5,41063.4,17598.6
2024,Haryana,Karnal,Rice,58662.0,146655.0,2.5,41063.4,17598.6
2019,Haryana,Karnal,Wheat,30235.0,96752.0,3.2,21164.5,9070.5
2020,Haryana,Karnal,Wheat,30235.0,96752.0,3.2,21164.5,9070.5
2021,Haryana,Karnal,Wheat,30235.0,96752.0,3.2,21164.5,9070.5
2022,Haryana,Karnal,Wheat,30235.0,96752.0,3.2,21164.5,9070.5
2023,Haryana,Karnal,Wheat,30235.0,96752.0,3.2,21164.5,9070.5
2024,Haryana,Karnal,Wheat,30235.0,96752.0,3.2,21164.5,9070.5
2019,Haryana,Karnal,Cotton,46774.4,23387.2,0.5,32742.1,14032.3
2020,Haryana,Karnal,Cotton,46774.4,23387.2,0.5,32742.1,14032.3
2021,Haryana,Karnal,Cotton,46774.4,23387.2,0.5,32742.1,14032.3
2022,Haryana,Karnal,Cotton,46774.4,23387.2,0.5,32742.1,14032.3
2023,Haryana,Karnal,Cotton,46774.4,23387.2,0.5,32742.1,14032.3
2024,Haryana,Karnal,Cotton,46774.4,23387.2,0.5,32742.1,14032.3
2019,Haryana,Karnal,Sugarcane,13074.0,915180.0,70.0,9151.8,3922.2
2020,Haryana,Karnal,Sugarcane,13074.0,915180.0,70.0,9151.8,3922.2
2021,Haryana,Karnal,Sugarcane,13074.0,915180.0,70.0,9151.8,3922.2
2022,Haryana,Karnal,Sugarcane,13074.0,915180.0,70.0,9151.8,3922.2
2023,Haryana,Karnal,Sugarcane,13074.0,915180.0,70.0,9151.8,3922.2
2024,Haryana,Karnal,Sugarcane,13074.0,915180.0,70.0,9151.8,3922.2
2019,Haryana,Karnal,Soybean,20134.8,22148.3,1.1,14094.4,6040.4
2020,Haryana,Karnal,Soybean,20134.8,22148.3,1.1,14094.4,6040.4
2021,Haryana,Karnal,Soybean,20134.8,22148.3,1.1,14094.4,6040.4
2022,Haryana,Karnal,Soybean,20134.8,22148.3,1.1,14094.4,6040.4
2023,Haryana,Karnal,Soybean,20134.8,22148.3,1.1,14094.4,6040.4
2024,Haryana,Karnal,Soybean,20134.8,22148.3,1.1,14094.4,6040.4
2019,Haryana,Karnal,Maize,35104.3,98292.0,2.8,24573.0,10531.3
2020,Haryana,Karnal,Maize,35104.3,98292.0,2.8,24573.0,10531.3
2021,Haryana,Karnal,Maize,35104.3,98292.0,2.8,24573.0,10531.3
2022,Haryana,Karnal,Maize,35104.3,98292.0,2.8,24573.0,10531.3
2023,Haryana,Karnal,Maize,35104.3,98292.0,2.8,24573.0,10531.3
2024,Haryana,Karnal,Maize,35104.3,98292.0,2.8,24573.0,10531.3
2019,Haryana,Karnal,Groundnut,7298.4,10217.8,1.4,5108.9,2189.5
2020,Haryana,Karnal,Groundnut,7298.4,10217.8,1.4,5108.9,2189.5
2021,Haryana,Karnal,Groundnut,7298.4,10217.8,1.4,5108.9,2189.5
2022,Haryana,Karnal,Groundnut,7298.4,10217.8,1.4,5108.9,2189.5
2023,Haryana,Karnal,Groundnut,7298.4,10217.8,1.4,5108.9,2189.5
2024,Haryana,Karnal,Groundnut,7298.4,10217.8,1.4,5108.9,2189.5
2019,Haryana,Karnal,Onion,9371.8,168692.4,18.0,6560.3,2811.5
2020,Haryana,Karnal,Onion,9371.8,168692.4,18.0,6560.3,2811.5
2021,Haryana,Karnal,Onion,9371.8,168692.4,18.0,6560.3,2811.5
2022,Haryana,Karnal,Onion,9371.8,168692.4,18.0,6560.3,2811.5
2023,Haryana,Karnal,Onion,9371.8,168692.4,18.0,6560.3,2811.5
2024,Haryana,Karnal,Onion,9371.8,168692.4,18.0,6560.3,2811.5
2019,Haryana,Hisar,Rice,31093.2,77733.0,2.5,21765.2,9328.0
2020,Haryana,Hisar,Rice,31093.2,77733.0,2.5,21765.2,9328.0
2021,Haryana,Hisar,Rice,31093.2,77733.0,2.5,21765.2,9328.0
2022,Haryana,Hisar,Rice,31093.2,77733.0,2.5,21765.2,9328.0
2023,Haryana,Hisar,Rice,31093.2,77733.0,2.5,21765.2,9328.0
2024,Haryana,Hisar,Rice,31093.2,77733.0,2.5,21765.2,9328.0
2019,Haryana,Hisar,Wheat,53192.0,170214.4,3.2,37234.4,15957.6
2020,Haryana,Hisar,Wheat,53192.0,170214.4,3.2,37234.4,15957.6
2021,Haryana,Hisar,Wheat,53192.0,170214.4,3.2,37234.4,15957.6
2022,Haryana,Hisar,Wheat,53192.0,170214.4,3.2,37234.4,15957.6
2023,Haryana,Hisar,Wheat,53192.0,170214.4,3.2,37234.4,15957.6
2024,Haryana,Hisar,Wheat,53192.0,170214.4,3.2,37234.4,15957.6
2019,Haryana,Hisar,Cotton,18555.2,9277.6,0.5,12988.6,5566.6
2020,Haryana,Hisar,Cotton,18555.2,9277.6,0.5,12988.6,5566.6
2021,Haryana,Hisar,Cotton,18555.2,9277.6,0.5,12988.6,5566.6
2022,Haryana,Hisar,Cotton,18555.2,9277.6,0.5,12988.6,5566.6
2023,Haryana,Hisar,Cotton,18555.2,9277.6,0.5,12988.6,5566.6
2024,Haryana,Hisar,Cotton,18555.2,9277.6,0.5,12988.6,5566.6
2019,Haryana,Hisar,Sugarcane,9013.2,630924.0,70.0,6309.2,2704.0
2020,Haryana,Hisar,Sugarcane,9013.2,630924.0,70.0,6309.2,2704.0
2021,Haryana,Hisar,Sugarcane,9013.2,630924.0,70.0,6309.2,2704.0
2022,Haryana,Hisar,Sugarcane,9013.2,630924.0,70.0,6309.2,2704.0
2023,Haryana,Hisar,Sugarcane,9013.2,630924.0,70.0,6309.2,2704.0
2024,Haryana,Hisar,Sugarcane,9013.2,630924.0,70.0,6309.2,2704.0
2019,Haryana,Hisar,Soybean,11891.7,13080.9,1.1,8324.2,3567.5
2020,Haryana,Hisar,Soybean,11891.7,13080.9,1.1,8324.2,3567.5
2021,Haryana,Hisar,Soybean,11891.7,13080.9,1.1,8324.2,3567.5
2022,Haryana,Hisar,Soybean,11891.7,13080.9,1.1,8324.2,3567.5
2023,Haryana,Hisar,Soybean,11891.7,13080.9,1.1,8324.2,3567.5
2024,Haryana,Hisar,Soybean,11891.7,13080.9,1.1,8324.2,3567.5
2019,Haryana,Hisar,Maize,39865.7,111624.0,2.8,27906.0,11959.7
2020,Haryana,Hisar,Maize,39865.7,111624.0,2.8,27906.0,11959.7
2021,Haryana,Hisar,Maize,39865.7,111624.0,2.8,27906.0,11959.7
2022,Haryana,Hisar,Maize,39865.7,111624.0,2.8,27906.0,11959.7
2023,Haryana,Hisar,Maize,39865.7,111624.0,2.8,27906.0,11959.7
